K,n_per_facility,sigma,heterogeneity,is_universal,overlap,obs_overlap,r2_lofo,p_naive,p_strat,thr_says_universal,perm_says_universal,strat_says_universal,thr_correct,perm_correct,strat_correct
10,27,0.5556986809468283,0.38364283466827986,False,0.6418276708871646,0.5968578466142733,0.0072983310131533585,0.01,0.01,True,False,False,False,True,True
7,29,0.478767475308456,0.9133112270985662,True,0.2438906308109774,0.1831500794863878,0.7656883851765047,0.24,0.31,True,True,True,True,True,True
4,55,0.09526582470170955,1.3121428804022042,False,0.294063100573552,0.2569424310362857,-1.8675033612819019,0.01,0.01,False,False,False,True,True,True
3,10,0.20507503412373262,1.5397981746718385,False,0.4763915176710881,0.3339299676615339,-0.4216928193101497,0.01,0.01,False,False,False,True,True,True
9,62,0.06180220248037152,1.4282010349335554,False,0.12629005113508796,0.09354603977685345,-0.5147028705988561,0.01,0.01,False,False,False,True,True,True
9,29,0.3347007608560284,1.0528740726510915,True,0.5789374438863503,0.5309499074392702,0.8603774783954833,0.4,0.35,True,True,True,True,True,True
10,22,0.38578266064412403,0.7611270887497295,False,0.10761625069847391,0.07570000651975714,-0.4592326921374692,0.01,0.01,False,False,False,True,True,True
8,54,0.05399177482808698,0.8766166319847242,True,0.5170857347905441,0.47701084835246865,0.9959272641428477,0.47,0.72,True,True,True,True,True,True
11,62,0.1519025982926362,1.2364823598569603,True,0.7829402377699607,0.7610840409058968,0.9691025959824825,0.13,0.14,True,True,True,True,True,True
12,13,0.46479983250243934,1.6920393258446558,False,0.6194117111023927,0.5157550759245123,-0.2859742000119325,0.01,0.01,False,False,False,True,True,True
7,30,0.2595139475750951,1.6692819888873522,True,0.001087497418115313,0.0,0.9310270725519298,0.01,1.0,True,False,True,True,False,True
4,79,0.4749380915852957,0.9252347984661926,False,0.905597965565473,0.900845295256811,-0.05164817629526208,0.01,0.01,False,False,False,True,True,True
10,12,0.5418757916360667,0.8003579140559434,False,0.3932387626239968,0.2914716828424157,-0.2822422094462187,0.01,0.01,False,False,False,True,True,True
7,20,0.5755570964404293,1.859384762215846,True,0.8114706345043791,0.7769225837679495,0.5864862206869075,0.31,0.33,True,True,True,True,True,True
4,52,0.42739670844192823,1.575655774198461,True,0.8184023557641144,0.8057218473167559,0.8310929817725332,0.5,0.5,True,True,True,True,True,True
6,42,0.4241410107177518,0.8004284102891457,False,0.7273035503353502,0.6978524520101567,-0.307869881616583,0.01,0.01,False,False,False,True,True,True
6,19,0.42848520931682704,0.3599007477293722,True,0.39263797530995515,0.295783358910352,0.7838563664257412,0.72,0.76,True,True,True,True,True,True
12,41,0.36343600168913387,1.5749332380675223,False,0.03375517345194845,0.024590146115109793,-0.5141301261554772,0.01,0.01,False,False,False,True,True,True
12,68,0.41767855750159166,1.988246908731185,False,0.3054920279672453,0.24899612775335284,-0.16393152839066927,0.01,0.01,False,False,False,True,True,True
12,58,0.08459415817858906,1.8751244799804596,False,0.21058758108352293,0.16304819332309692,-0.3994814427085047,0.01,0.01,False,False,False,True,True,True
7,72,0.4743460237459237,0.6883797273626766,True,0.37282422350955313,0.3171575546100354,0.7401029718322594,0.48,0.41,True,True,True,True,True,True
3,79,0.36970752657958683,1.6204026159093678,True,0.4122942222435835,0.4043473753384341,0.8422866748322249,0.32,0.57,True,True,True,True,True,True
8,72,0.3955411458778878,0.5179007045568513,False,0.1406004355682975,0.1057928439381577,-0.653038181216226,0.01,0.01,False,False,False,True,True,True
3,33,0.1072916242999499,1.664232025520906,False,0.3468394363089,0.3233673367198318,-3.9201015987821615,0.01,0.01,False,False,False,True,True,True
5,75,0.09059644838962852,0.9024051085086044,False,0.5628181327658446,0.5336176430231238,0.0891682093912245,0.01,0.01,True,False,False,False,True,True
11,23,0.10570782391200127,1.4363203456231837,False,0.9172228951114543,0.8967849439071934,-0.1874873411073703,0.01,0.01,False,False,False,True,True,True
4,47,0.4271475208897712,1.2611446778552344,True,0.0834293112162755,0.0697201007646019,0.8404083350752086,0.96,0.85,True,True,True,True,True,True
3,74,0.24644897162449036,1.0133336835897768,False,0.6667189416893496,0.649815007819352,-1.4852212495299573,0.01,0.01,False,False,False,True,True,True
8,15,0.3394729913860925,1.0363687217152615,False,0.9698293481761199,0.843757951937406,-0.14767717632725352,0.01,0.01,False,False,False,True,True,True
9,26,0.5780337885565668,1.8327376748475768,True,0.8379216315569615,0.8090249781375773,0.6583262126102475,0.43,0.54,True,True,True,True,True,True
8,59,0.24000891400634322,1.6298903060367689,True,0.8397321990526291,0.8193815564668553,0.9315544058016532,0.25,0.28,True,True,True,True,True,True
11,13,0.4241886002187862,0.7225545165067258,False,0.5136262661325081,0.37432935169722087,-0.3159655791217235,0.01,0.01,False,False,False,True,True,True
9,55,0.2565432776343615,1.896336649515664,False,0.640688404957667,0.6125050358157202,-0.29395834778478136,0.01,0.01,False,False,False,True,True,True
9,33,0.29797543937442994,1.934037203580664,True,0.47574270855274226,0.41692976319394226,0.8999472328282188,0.03,0.07,True,False,True,True,False,True
12,56,0.240741262078579,0.9386296219605805,False,0.1686537280791689,0.12691135151799054,0.15047587507118643,0.01,0.01,True,False,False,False,True,True
7,12,0.5598416523368877,1.5039549899253062,True,0.14908251622082336,0.10011387833296614,0.7166423418115149,0.39,0.63,True,True,True,True,True,True
5,76,0.5036834511521241,0.5175670856834569,True,0.7282981296825198,0.7261020636907551,0.7695670880624381,0.93,0.88,True,True,True,True,True,True
4,79,0.15402627670546615,1.183134449055133,False,0.4953589891070731,0.4859529318493024,0.13482777253328682,0.01,0.01,True,False,False,False,True,True
3,77,0.32130881578033443,0.6955092028454164,True,0.7399950035498378,0.74638022337663,0.8709578912670727,0.78,0.72,True,True,True,True,True,True
10,29,0.388958245769635,0.6132097903594328,True,0.8531512442860987,0.8027403892081406,0.8261817368381169,0.29,0.28,True,True,True,True,True,True
9,16,0.4904627591297972,1.913023150667012,False,0.6636391354448485,0.6011035541115154,-0.3533850790473916,0.01,0.01,False,False,False,True,True,True
4,77,0.0611650517090907,0.8671341061371216,True,0.7923170930735732,0.7854642411488988,0.9944822266073108,0.74,0.77,True,True,True,True,True,True
10,74,0.13168136979048156,1.8381073892597375,False,0.0546779109817076,0.04183260395810089,-0.07774684445881119,0.01,0.01,False,False,False,True,True,True
10,52,0.18050043360889917,1.8425491683898747,True,0.6202157048828788,0.5918666549206187,0.9601448795428021,0.92,0.89,True,True,True,True,True,True
6,65,0.3351765428487841,1.9297121679648137,False,0.18603417680309697,0.14466849848081528,-0.6031301814815,0.01,0.01,False,False,False,True,True,True
5,16,0.5080051039173423,0.5346241576061622,False,0.2581734569305597,0.19145922687929992,-0.03765012007444413,0.01,0.01,False,False,False,True,True,True
12,47,0.19656649311592356,0.7026272978911319,True,0.837172554922398,0.8157835456102109,0.9501786142994366,0.33,0.32,True,True,True,True,True,True
9,72,0.5612201306326782,1.3463812586803983,True,0.5571523832567945,0.5249651973916599,0.6957472334053318,0.67,0.52,True,True,True,True,True,True
12,23,0.2730460351943901,1.5922464733345194,False,0.900444984818131,0.8347802706987759,-0.14207443113131668,0.01,0.01,False,False,False,True,True,True
7,24,0.48365042921465357,0.8288399069328516,False,0.5732180629318233,0.5007185093822413,-0.11180429503973688,0.01,0.01,False,False,False,True,True,True
11,43,0.42638207441151427,1.8105181403101889,False,0.29227705296682116,0.2279883569831732,-0.16633317658148306,0.01,0.01,False,False,False,True,True,True
7,18,0.12193543215254424,0.9444008330376705,False,0.43625882451092013,0.3197900897545158,0.41694757960322615,0.01,0.01,True,False,False,False,True,True
9,14,0.5876081506366344,0.9158523050547092,False,0.8583086033478944,0.7857127521322961,-0.31217325220203906,0.01,0.01,False,False,False,True,True,True
3,69,0.05816183203589868,0.5455387614804873,False,0.20513431547375638,0.18076043208566128,-1.550620417695678,0.01,0.01,False,False,False,True,True,True
8,17,0.324205922182941,0.7526177526448918,False,0.8530133628642964,0.8470034142781117,-0.2361774547003921,0.01,0.01,False,False,False,True,True,True
8,53,0.2536442265394677,1.4145878238368346,False,0.039594775974117424,0.029704931961023785,0.009417782049495171,0.01,0.01,True,False,False,False,True,True
5,10,0.42505878328651525,0.6589369860530241,True,0.9691785698288844,0.8170234783166442,0.762333091602985,0.24,0.23,True,True,True,True,True,True
6,74,0.577684404789974,1.2906985886179319,False,0.656491121352576,0.6441884502478677,-0.6623181487122589,0.01,0.01,False,False,False,True,True,True
8,44,0.24060755020807517,1.7182834801664184,True,0.7959133719722982,0.7866460230180593,0.9209484679309657,0.17,0.26,True,True,True,True,True,True
8,74,0.15193228233098877,1.7362979288480915,False,0.5997007121048339,0.5649356439021053,-0.21709333555520627,0.01,0.01,False,False,False,True,True,True
10,43,0.4336816871920774,1.4204721801514395,True,0.8496670801183555,0.8337802439509736,0.8122278053465829,0.86,0.78,True,True,True,True,True,True
8,62,0.06607186047981489,1.3077038268704397,False,0.2242955412145602,0.18390976769235562,-0.38107655525150474,0.01,0.01,False,False,False,True,True,True
12,33,0.31396393865768646,1.8494671435865988,False,0.6271177463459479,0.5908228521441645,-0.2797462182847277,0.01,0.01,False,False,False,True,True,True
3,32,0.27207734357758834,0.33176195039812745,False,0.37008974968991626,0.34658803930186544,0.1729745285380917,0.01,0.01,True,False,False,False,True,True
11,16,0.49041682820921395,0.7095356143512147,True,0.19039266883396966,0.12683277526632838,0.7703690100432543,0.43,0.41,True,True,True,True,True,True
12,35,0.5212673236183575,1.3613279956695805,True,0.08696084295535456,0.06211449385902004,0.7815974751340136,0.21,0.22,True,True,True,True,True,True
12,20,0.23366282750080392,1.6887662795159843,True,0.991926680794846,0.8733462250075933,0.9549468881748261,0.47,0.43,True,True,True,True,True,True
9,33,0.4726134942289713,1.262821051475076,False,0.4847111354501096,0.43530467103648934,-0.412245093692891,0.01,0.01,False,False,False,True,True,True
7,61,0.07439953466748012,1.3128502257953143,False,0.5186479792921692,0.48230700318069014,-0.07745254396056866,0.01,0.01,False,False,False,True,True,True
9,21,0.2892501322601795,1.8400685072504177,False,0.7377433304442234,0.7085199271488218,-0.3813964819266029,0.01,0.01,False,False,False,True,True,True
8,55,0.18569399939514813,1.7654134278052476,True,0.5551617711571704,0.5254517278423421,0.9508489510778619,0.53,0.46,True,True,True,True,True,True
10,33,0.29858147851246464,1.9658391565796036,False,0.8991686203260988,0.8778248466873461,-0.2559967965879353,0.01,0.01,False,False,False,True,True,True
10,57,0.5977920934499574,0.5475102045821647,False,0.303702176764137,0.24810470385960237,-0.25006334440754663,0.01,0.01,False,False,False,True,True,True
3,73,0.060660030899151604,1.0308468227441716,False,0.7744825427449915,0.7943599392077417,-1.1088453987163125,0.01,0.01,False,False,False,True,True,True
6,25,0.4802438273965202,1.0870168235319284,True,0.8130516575427865,0.815089160062569,0.7874830247459608,0.94,0.89,True,True,True,True,True,True
