K,n_per_facility,sigma,heterogeneity,is_universal,r2_lofo,protocol_says_universal,bootstrap_a_ci_lo,bootstrap_a_ci_hi,bootstrap_a_stable,obs_sigma_hat,obs_hetero_hat,perm_pvalue,perm_says_universal,perm_correct,correct,scenario_id
10,87,0.342791518911539,2.2733344477542996,True,0.8762780694963872,True,-0.4391699713525162,-0.42723623234751257,True,0.34740671891899927,0.01071999190281299,0.71,True,True,True,73
17,87,0.4095792416904145,0.8940283486452304,False,-0.04932215847010779,False,-0.538531945824165,-0.308640876236375,True,3.2794174956459825,0.23170625750458532,0.01,False,True,True,74
19,95,0.38054675437830304,0.9590315577793054,False,-0.02785105535600918,False,-0.6511672655959024,-0.3970408295150625,True,3.877064127760205,0.29275131554262457,0.01,False,True,True,75
5,60,0.4162004134255686,0.9053740976397425,True,0.8491039218453482,True,-0.45439079925004533,-0.4219864242565022,True,0.4108656533852829,0.019039661682009594,0.31,True,True,True,76
3,12,0.1276113578773327,0.3441976077135761,True,0.9805779597341063,True,-0.4672136996820224,-0.4474116766515779,True,0.12033087622881646,0.017147626035703557,0.92,True,True,True,77
2,100,0.2872331038306361,0.5304411534652911,True,0.9237431985228852,True,-0.43169647470240646,-0.427208730750211,True,0.27030554392385064,0.002243871976097739,0.97,True,True,True,78
16,56,0.25631974980685296,1.8756410141766637,True,0.9318299820460123,True,-0.4514995493467746,-0.43295122912400275,True,0.2602765498284405,0.019061972085661003,0.84,True,True,True,79
15,70,0.10414263262967188,1.3968415413364947,False,-0.1399804288269464,False,-0.707496635268021,-0.08820754369008403,True,8.69904214553887,0.6310232363357423,0.01,False,True,True,80
18,96,0.5375438934420953,0.7304761637903477,False,-0.01891904927793231,False,-0.5859209605767483,-0.3219166648462737,True,3.293201953426216,0.23030270533072714,0.01,False,True,True,81
4,25,0.5866673440473908,0.5964738961191863,True,0.729035900746237,True,-0.48161276829342814,-0.3758959009587644,True,0.5471030543276644,0.06113871923540949,0.11,True,True,True,82
18,78,0.0810228632106278,0.294077590106929,False,0.39343001456134696,True,-0.5029974707781928,-0.3997286599234046,True,1.0927105083153967,0.0664621063018785,0.01,False,True,False,83
17,13,0.13758328130144845,2.7563054125552293,True,0.9802601974845427,True,-0.4521243339292694,-0.43627960708456737,True,0.1365652112746285,0.02418095951800168,0.89,True,True,True,84
15,94,0.24010091224173236,0.8550753904389591,False,-0.014006926179991108,False,-0.6929517565037504,-0.3810375791842286,True,3.192415479644618,0.21981914016552231,0.01,False,True,True,85
20,73,0.42481284827775784,1.6842497422360725,True,0.8377051138702156,True,-0.4610708848662114,-0.435495408348212,True,0.4263484416681117,0.028982868534640764,0.4,True,True,True,86
11,100,0.42815853898637707,1.9119195786584764,True,0.8441967061665234,True,-0.4601292412853861,-0.43404906104494556,True,0.4317860764504456,0.023244698414587553,0.52,True,True,True,87
11,25,0.5942008015112744,2.6699429806906476,True,0.7290326008943946,True,-0.47518035959977006,-0.423170750577086,True,0.5921290533732,0.05452817814139616,0.5,True,True,True,88
9,45,0.22708643864304756,2.1735472134031784,False,-0.2369152722363832,False,-1.0749262486029456,-0.14652235631547905,True,7.054329254395619,0.5048710678294889,0.01,False,True,True,89
17,54,0.08433355545194415,1.4855065812664388,False,-0.09439902834293079,False,-0.6899161772420883,-0.2133966575150157,True,5.661173561088073,0.4450690426195227,0.01,False,True,True,90
4,94,0.16810726232147372,0.9495143541843455,True,0.9732681842558748,True,-0.47138930377874966,-0.44425763259180706,True,0.16477832647783952,0.012831197584599904,0.05,False,False,True,91
18,40,0.38536096341475956,1.2886441637941295,False,-0.1005461672574881,False,-0.5613297093469414,-0.16818778444292753,True,5.640258303307408,0.3789089575689846,0.01,False,True,True,92
5,98,0.41301957560036245,2.1866255973124122,False,-0.557233181928092,False,-0.6765475761830896,0.4064848364302871,False,10.654517933576471,0.6180350662029575,0.01,False,True,True,93
13,54,0.4793761131178014,0.02241947774332842,True,0.8176969058721493,True,-0.46451937395380993,-0.4377166188616677,True,0.47260424602238277,0.027672438302600636,0.37,True,True,True,94
15,61,0.41430294955212515,0.34729132795628226,True,0.8577271552167953,True,-0.45797822528289317,-0.42943159345822374,True,0.4042969302156745,0.028823820425148538,0.43,True,True,True,95
7,27,0.3809280912911439,2.661523579415669,True,0.8897761717703695,True,-0.485367743102646,-0.45600264308415506,True,0.37383778300992876,0.01933995237271479,0.94,True,True,True,96
14,94,0.35277696780276047,2.8945088659122353,True,0.8792168564452507,True,-0.4496002344867453,-0.43902920722772243,True,0.3595403687248885,0.011986824325654325,0.46,True,True,True,97
5,34,0.5883555964258197,2.2294124700155105,True,0.7482510598881901,True,-0.5216980793908362,-0.39542924713758915,True,0.5847334775198691,0.0695723633214297,0.18,True,True,True,98
6,85,0.159415909308889,1.0672159168095035,False,-0.4523243516928557,False,-0.6417210653359288,0.07023961511824924,False,3.6603655841667777,0.3069236016721246,0.01,False,True,True,99
10,37,0.06483620444739559,2.1984618031218854,True,0.9959312349716412,True,-0.45308534322512767,-0.44668202902844306,True,0.06536231058531822,0.0040085521048549505,0.44,True,True,True,100
4,39,0.11135455266057337,2.9260214977437276,True,0.9878019190747533,True,-0.4657681067807051,-0.4514295450932923,True,0.10602138965825308,0.006825811754286656,0.56,True,True,True,101
11,72,0.05518967917994171,1.0453256458745008,True,0.9968819768516555,True,-0.4519833271117012,-0.44902444364848215,True,0.056005430158639,0.0025045198463769154,0.52,True,True,True,102
