is_universal,obs_min_fold_overlap,thr_correct,perm_correct,strat_correct,bin
True,0.03037794565962065,True,True,True,0.02-0.05
True,0.017424365241407218,True,True,True,0.01-0.02
False,0.16742230274442196,True,True,True,0.10-0.20
False,0.004652720193383417,True,True,True,0-0.005
False,0.11104539892749224,True,True,True,0.10-0.20
False,0.0,True,True,False,0-0.005
False,0.07614786936256276,True,True,True,0.05-0.10
True,0.03485302575876062,True,True,True,0.02-0.05
False,0.0,True,True,True,0-0.005
False,0.21491062792951865,True,True,True,
True,0.11457858645894817,True,True,True,0.10-0.20
True,0.0240830381234643,True,True,True,0.02-0.05
False,0.17101218476650584,True,True,True,0.10-0.20
True,0.004077522943573072,True,False,False,0-0.005
False,0.029123874859748728,False,True,True,0.02-0.05
False,0.0,True,True,False,0-0.005
False,0.09017104772041577,True,True,True,0.05-0.10
True,0.12066056578245353,True,True,True,0.10-0.20
True,0.009539760945692179,True,True,True,0.005-0.01
True,0.09133372418295357,True,False,False,0.05-0.10
True,0.0796124636091216,True,True,True,0.05-0.10
True,0.11379285156903253,True,True,True,0.10-0.20
False,0.10260526165153377,True,True,True,0.10-0.20
False,0.10892876725295228,True,True,True,0.10-0.20
False,0.018014192415340895,False,True,True,0.01-0.02
False,0.009275637620202195,True,True,True,0.005-0.01
False,0.13520261457545465,False,True,True,0.10-0.20
False,0.17719898992048178,True,True,True,0.10-0.20
False,0.17717657487283275,True,True,True,0.10-0.20
False,0.11973745868721415,True,True,True,0.10-0.20
False,0.033090779775305564,True,True,True,0.02-0.05
False,0.11724099498175444,True,True,True,0.10-0.20
False,0.07859390645035448,True,True,True,0.05-0.10
False,0.07379889776659507,False,True,True,0.05-0.10
False,0.08246152600785431,True,True,True,0.05-0.10
False,0.09212872571492019,True,True,True,0.05-0.10
True,0.083668126867127,True,True,True,0.05-0.10
False,0.1431769556009236,True,True,True,0.10-0.20
True,0.07111268567760748,True,True,True,0.05-0.10
True,0.12359453461859687,True,False,True,0.10-0.20
False,0.024897932655630083,True,True,True,0.02-0.05
True,0.13724802163085012,True,True,True,0.10-0.20
True,0.11228871579748093,True,False,True,0.10-0.20
True,0.14760998944302425,True,True,True,0.10-0.20
False,0.15715560868420078,True,True,True,0.10-0.20
True,0.15973496192681613,True,True,True,0.10-0.20
False,0.1439109953810754,True,True,True,0.10-0.20
True,0.11972541223608316,True,True,True,0.10-0.20
False,0.07147270886010519,False,True,True,0.05-0.10
False,0.025132187919476846,True,True,True,0.02-0.05
False,0.0732571950402851,True,True,True,0.05-0.10
True,0.10860517455217791,True,True,True,0.10-0.20
True,0.020443200138918823,True,True,True,0.02-0.05
True,0.09975774632080489,True,True,True,0.05-0.10
False,0.20596516517611105,True,True,True,
False,0.016456982704289535,False,True,True,0.01-0.02
False,0.06624207774892105,True,True,True,0.05-0.10
False,0.0,True,True,False,0-0.005
True,0.023837076989289867,True,False,True,0.02-0.05
False,0.0,True,True,True,0-0.005
False,0.06495916453341416,True,True,True,0.05-0.10
True,0.09457657181699564,True,False,False,0.05-0.10
True,0.20264465346625105,True,True,True,
True,0.0,True,False,True,0-0.005
True,0.01557594944353647,True,True,True,0.01-0.02
True,0.10118721063411652,True,False,True,0.10-0.20
False,0.0,True,True,False,0-0.005
True,0.19153873119320186,True,True,True,0.10-0.20
True,0.07558595531328487,True,True,True,0.05-0.10
False,0.10182186573737376,False,True,True,0.10-0.20
False,0.0,True,True,False,0-0.005
True,0.0,True,True,True,0-0.005
True,0.19077520511638443,True,True,True,0.10-0.20
False,0.11520827497688407,True,True,True,0.10-0.20
True,0.01077974411051895,True,True,True,0.01-0.02
False,0.14603950552845238,True,True,True,0.10-0.20
False,0.09613470233261348,True,True,True,0.05-0.10
True,0.04219505814369605,True,True,True,0.02-0.05
False,0.1860132607261408,True,True,True,0.10-0.20
False,0.12025130308679545,True,True,True,0.10-0.20
True,0.13597725961848312,True,True,True,0.10-0.20
False,0.01572290547531003,True,True,True,0.01-0.02
True,0.0,True,True,True,0-0.005
False,0.11718336475919196,True,True,True,0.10-0.20
True,0.010912534489175488,True,True,True,0.01-0.02
False,0.006063941934608963,True,True,True,0.005-0.01
True,0.07789431449478205,True,False,False,0.05-0.10
True,0.04617191756171476,True,True,True,0.02-0.05
True,0.0,True,True,True,0-0.005
True,0.12418445608516245,True,False,False,0.10-0.20
True,0.0,True,True,True,0-0.005
False,0.1547864309258104,True,True,True,0.10-0.20
False,0.16399405818708615,True,True,True,0.10-0.20
False,0.05380384348783509,True,True,True,0.05-0.10
False,0.06734544261524604,True,True,True,0.05-0.10
True,0.010970283926353356,True,True,True,0.01-0.02
True,0.162578616540531,True,True,True,0.10-0.20
True,0.1760337948395287,True,True,True,0.10-0.20
