K,n_per_facility,sigma,heterogeneity,is_universal,confound_type,n_mode,r2_lofo,protocol_says_universal,bootstrap_a_ci_lo,bootstrap_a_ci_hi,bootstrap_a_stable,obs_sigma_hat,obs_hetero_hat,perm_pvalue,perm_says_universal,perm_correct,correct,scenario_id
15,87,0.2737446664631743,0.8151154838677311,True,gaussian_linear,unequal,0.9280840575430853,True,-0.45449428916199275,-0.44410156477862334,True,0.27288504206629016,0.010290459153185265,0.33,True,True,True,gaussian_linear_70
10,98,0.5428184982819262,1.000045441759196,False,gaussian_linear,equal,0.041938274822268085,True,-0.5704030816670327,-0.4268951768022891,True,1.9664361212248729,0.13621511525533123,0.01,False,True,False,gaussian_linear_71
16,16,0.5335810521834722,1.7952297760517544,False,gaussian_linear,unequal,-0.1253444248637865,False,-0.529422586299652,0.05735264068261735,False,5.64442001726579,0.42218310171697854,0.01,False,True,True,gaussian_linear_72
19,52,0.547940950295094,1.1739936266867979,True,gaussian_linear,unequal,0.7534716281428127,True,-0.47288468501165865,-0.44538217778912753,True,0.5554836613915026,0.06069000496282888,0.7,True,True,True,gaussian_linear_73
13,76,0.31946960346090597,2.1279182101927407,False,gaussian_linear,equal,-0.16065760872511636,False,-0.6253788670040258,0.051122257137038274,False,5.874925755462317,0.48679595663556063,0.01,False,True,True,gaussian_linear_74
4,13,0.08541240342419193,0.9507826065022708,False,gaussian_linear,equal,-0.5008960417009665,False,-0.770651920544551,-0.049495798050427475,True,3.317986212806671,0.2766150861848383,0.01,False,True,True,gaussian_linear_75
20,97,0.3681600563597669,0.27320096178565934,True,gaussian_linear,equal,0.878429109174821,True,-0.4532739696471337,-0.4383459305031407,True,0.36939366931622564,0.017565107096414068,0.99,True,True,True,gaussian_linear_76
5,69,0.1375054030422852,2.4853653922083683,True,gaussian_linear,unequal,0.9810132234024828,True,-0.45381187297291226,-0.4467359029700572,True,0.14229916733670098,0.004288425802106535,0.57,True,True,True,gaussian_linear_77
2,96,0.19564543390030897,1.5218286056506092,False,gaussian_linear,equal,-1.7574770650197489,False,-1.1441157345625417,-0.5134260452100748,True,2.440274941946784,0.3153448446762337,0.01,False,True,True,gaussian_linear_78
6,78,0.31574941197327655,2.466645357774771,True,gaussian_linear,unequal,0.9107216239592191,True,-0.48022144083449253,-0.4464379727034771,True,0.3057277339271604,0.021007131282772658,0.1,True,True,True,gaussian_linear_79
12,78,0.5354911643077029,0.17412056296923817,True,gaussian_linear,unequal,0.7639086061679956,True,-0.4701591724294155,-0.43124344073881,True,0.5428902198396458,0.0433714676505323,0.61,True,True,True,gaussian_linear_80
20,10,0.5203972373545236,2.1371278175762964,True,gaussian_linear,equal,0.814875399708743,True,-0.5044682339462304,-0.44116598431878257,True,0.4805444764474143,0.12488406160389628,0.97,True,True,True,gaussian_linear_81
7,40,0.4441786847335791,1.2717493824465544,False,gaussian_linear,equal,-0.3799041834374117,False,-0.9603643269453722,0.5234718974860252,False,8.013349689745352,0.5542895965439141,0.01,False,True,True,gaussian_linear_82
14,98,0.4847676369606413,2.1717597505660997,False,gaussian_linear,unequal,-0.17732119815009662,False,-0.589448674229175,0.18293359396934628,False,8.06900985176271,0.5626465909865535,0.01,False,True,True,gaussian_linear_83
13,29,0.4402844411091935,2.999184903300992,False,gaussian_linear,equal,-0.17529082382835726,False,-0.9131411411731719,0.17198800575807482,False,10.767789640382,0.6900088113198404,0.01,False,True,True,gaussian_linear_84
16,16,0.4827239841225377,0.7792494428264934,False,gaussian_linear,unequal,-0.05926709540124553,False,-0.4446709176105456,-0.2294896876684273,True,2.38793388278338,0.195264144947363,0.01,False,True,True,gaussian_linear_85
10,77,0.4874006606282606,0.8104450678333166,False,gaussian_linear,equal,-0.16411715309235286,False,-0.39846265043293005,-0.0613332857109578,True,2.646332583333055,0.21057411666050502,0.01,False,True,True,gaussian_linear_86
14,25,0.499827453766906,1.615780939702758,True,gaussian_linear,unequal,0.8094316727436965,True,-0.4645659564243095,-0.4274345917867391,True,0.4853075608301166,0.09774164205329809,0.73,True,True,True,gaussian_linear_87
14,47,0.38159634729662445,2.2230672703783223,False,gaussian_linear,unequal,-0.15349997723122333,False,-0.15305263512849757,0.26405194081118266,False,4.876200916029355,0.4210010437220003,0.01,False,True,True,gaussian_linear_88
17,45,0.37707381767118053,2.6053397399053297,False,gaussian_linear,equal,-0.128282841031637,False,-0.9386839752772601,0.17498254884296918,False,10.117354345269046,0.7540848810058315,0.01,False,True,True,gaussian_linear_89
15,9,0.5545975756822885,2.6995875884997624,False,gaussian_linear,unequal,-0.15017149852320522,False,-0.801835129698259,0.3446636034319236,False,9.35877923665736,0.7585906493677045,0.01,False,True,True,gaussian_linear_90
18,91,0.4465409443029936,2.5836591340973696,False,gaussian_linear,equal,-0.11427350398202796,False,-0.580667468050896,-0.08046329921320027,True,7.581774414309348,0.486374479216209,0.01,False,True,True,gaussian_linear_91
4,89,0.21009030914395876,1.4625891261431099,False,gaussian_linear,unequal,-0.7781857705547983,False,-0.4555962624166572,-0.12019801227981389,True,3.58379487919906,0.23094627901627024,0.01,False,True,True,gaussian_linear_92
8,39,0.5841354674425032,0.6046053433075042,True,gaussian_linear,unequal,0.6977123522565307,True,-0.4325861491364164,-0.3889798916584292,True,0.587036363095105,0.05783165571547811,0.91,True,True,True,gaussian_linear_93
19,94,0.1670626338599846,0.4784310802434568,False,gaussian_linear,equal,0.052506529522925005,True,-0.5163706889398574,-0.33455892216814104,True,2.312238514912707,0.17352712825833597,0.01,False,True,False,gaussian_linear_94
12,28,0.21020284601756256,2.094090070136643,False,gaussian_linear,unequal,-0.27564966528956014,False,-1.823937181656325,-0.12431098978855849,True,10.279490864737262,0.6522859576001537,0.01,False,True,True,gaussian_linear_95
19,96,0.06390008788228121,1.9104908143491042,False,gaussian_linear,equal,-0.095098887766353,False,-0.808116967318864,-0.19602189465415576,True,8.621104345809092,0.6613932914035971,0.01,False,True,True,gaussian_linear_96
12,10,0.12670408331260513,2.672861971822952,False,gaussian_linear,unequal,-0.20201999823940398,False,-1.2818432199160728,0.30782489205183267,False,10.418364968050362,0.8857965937984178,0.01,False,True,True,gaussian_linear_97
15,74,0.16688910396389284,1.7493772782465031,True,gaussian_linear,equal,0.9718722248400221,True,-0.45453434687262545,-0.4448605636407615,True,0.16694826546176542,0.009880210271650817,0.09,True,True,True,gaussian_linear_98
19,99,0.5754451462304014,1.5569959734724828,False,gaussian_linear,equal,-0.05651261660398199,False,-0.682344020838545,-0.25386344785755693,True,5.567707575461089,0.462993042952859,0.01,False,True,True,gaussian_linear_99
5,95,0.21621296048354544,2.060244934773909,False,gaussian_linear,equal,-0.5339901213046576,False,-0.7261501174945243,-0.0910219073547497,True,4.355201162240414,0.33000294951663256,0.01,False,True,True,gaussian_linear_100
14,29,0.5303443393990517,0.4691036842095807,True,gaussian_linear,unequal,0.7861877535959689,True,-0.471007951151648,-0.43911594481521543,True,0.5038294885462002,0.08716269274743763,0.66,True,True,True,gaussian_linear_101
5,95,0.39467435077838586,2.5671144036017846,True,gaussian_linear,equal,0.8492686507910792,True,-0.4658732212487348,-0.44293470664873585,True,0.4108259737797913,0.01429529607191119,0.98,True,True,True,gaussian_linear_102
9,17,0.18919895656544794,0.6897966369187039,False,gaussian_linear,equal,0.0009238012807391005,True,-0.6914507506814701,-0.16976847174646711,True,2.6076130061393177,0.154091056158544,0.01,False,True,False,gaussian_linear_103
20,78,0.21424192250636537,2.9538250854990684,True,gaussian_linear,equal,0.9578639164166054,True,-0.4490331292836732,-0.440052980698641,True,0.21038959123232928,0.010577757472888298,0.31,True,True,True,gaussian_linear_104
7,82,0.091925180178038,2.7852632627047207,True,gaussian_linear,unequal,0.9909560276822802,True,-0.45231983130562087,-0.44699874866739037,True,0.09469313006833369,0.00352017804161037,0.64,True,True,True,gaussian_linear_105
19,49,0.3157467860308912,1.309198732587078,True,gaussian_linear,equal,0.9085976471020473,True,-0.45946834436263184,-0.4413280515977169,True,0.310557690350943,0.022516713315180376,0.66,True,True,True,gaussian_linear_106
14,20,0.05316739406873517,1.9576133155244655,True,gaussian_linear,equal,0.9973512820178863,True,-0.4520495165587199,-0.44559146471304295,True,0.05108042186771501,0.006599654424344205,0.13,True,True,True,gaussian_linear_107
20,57,0.45230585736924184,1.3710590222666288,False,gaussian_linear,equal,-0.0698374226508014,False,-0.61080257005016,-0.2831292883005379,True,5.221785963910143,0.37186405726314153,0.01,False,True,True,gaussian_linear_108
12,34,0.4999288899534945,1.923512480086456,False,gaussian_linear,unequal,-0.1795663292540055,False,-0.48109458403606326,0.042484726096427644,False,5.892228145369425,0.47091719606762455,0.01,False,True,True,gaussian_linear_109
20,15,0.39087355826599224,1.3907766337247915,False,gaussian_linear,equal,-0.10647260600203667,False,-0.584147873744714,0.06897068993794536,False,5.650275652766529,0.4174751986049929,0.01,False,True,True,gaussian_linear_110
11,59,0.3358577067090165,1.3720821718952259,False,gaussian_linear,equal,-0.14523101970116659,False,-0.4392881683665042,-0.16799823543723488,True,3.696708819604743,0.2697268698283643,0.01,False,True,True,gaussian_linear_111
4,62,0.4873998584799708,1.4829723500843244,False,gaussian_linear,equal,-0.540197715917319,False,-1.2324281036503137,-0.7094743153212036,True,5.091679187866003,0.35038974076950363,0.01,False,True,True,gaussian_linear_112
14,86,0.37322857020762773,2.480904382518339,True,gaussian_linear,unequal,0.878790945784781,True,-0.4595826551814405,-0.44452997996516225,True,0.36405633686336225,0.018030889135303,0.57,True,True,True,gaussian_linear_113
18,50,0.5740550312082506,1.9871796242142148,False,gaussian_linear,unequal,-0.19203461529138366,False,-0.6979561548091856,0.14700515214945106,False,9.512490282058351,0.6289859135222782,0.01,False,True,True,gaussian_linear_114
17,77,0.4880824805639437,2.084146218773083,True,gaussian_linear,unequal,0.7949418964091013,True,-0.4528299396721495,-0.43600442072869816,True,0.4954997356699068,0.01854890954588487,0.71,True,True,True,gaussian_linear_115
19,32,0.11273311675261942,0.308509406084455,False,gaussian_linear,equal,0.32190285695817045,True,-0.5563572347950095,-0.4235206285417579,True,1.3110139921104664,0.10442901500809532,0.01,False,True,False,gaussian_linear_116
10,7,0.49983508734067983,1.6836479497572179,False,gaussian_linear,equal,-0.2747339512840268,False,-1.4837182805518363,0.08694290474051465,False,4.936607809508324,0.3055099981202377,0.01,False,True,True,gaussian_linear_117
13,61,0.0822459081709303,1.0403678804719954,True,gaussian_linear,unequal,0.9934737518291101,True,-0.45251353226627805,-0.4460254776336555,True,0.08169999346944103,0.007361612896147062,0.05,False,False,True,gaussian_linear_118
20,46,0.2155970513130312,2.764379201916732,False,gaussian_linear,unequal,-0.13571725405838087,False,-1.0292849723659965,-0.0819999750011429,True,10.436577837475857,0.8721650260697704,0.01,False,True,True,gaussian_linear_119
13,67,0.44595391855241734,1.458886888220821,False,gaussian_linear,equal,-0.1479227347385541,False,-0.6774887851900359,-0.12739887026567684,True,5.716812872147979,0.44417914208242576,0.01,False,True,True,gaussian_linear_120
8,13,0.37480384827346525,0.6213448472863984,False,gaussian_linear,equal,-0.2033095086911738,False,-0.7975803914901318,-0.2891653733377866,True,2.9956927514049108,0.2065128582573942,0.01,False,True,True,gaussian_linear_121
13,79,0.3061212639935181,2.283286875435607,True,gaussian_linear,unequal,0.9212668562830115,True,-0.46303690983178103,-0.4465491010789191,True,0.2968418256646538,0.015685225858395505,0.89,True,True,True,gaussian_linear_122
15,56,0.11040856751530476,2.0023132799492265,False,gaussian_linear,equal,-0.13993963941825882,False,-0.699518882680893,-0.05606054959647601,True,7.704166534979703,0.5034159288437282,0.01,False,True,True,gaussian_linear_123
20,18,0.4608768633485445,0.8397979738665518,False,gaussian_linear,unequal,-0.18032494062698157,False,-0.6279180736134702,-0.25200500073533244,True,2.8884729752201994,0.2503857107373061,0.01,False,True,True,gaussian_linear_124
4,91,0.3995152866475544,1.6581169744898316,False,gaussian_linear,equal,-0.683713249502832,False,-1.3426307640974346,-0.046455355988196896,True,6.579638686877439,0.5815227226781946,0.01,False,True,True,gaussian_linear_125
10,27,0.2913227351599951,0.6336560353940867,False,gaussian_linear,unequal,0.021412921797842266,True,-0.6915278542970126,-0.3936309169586304,True,1.9674210267593504,0.11896940112628412,0.01,False,True,False,gaussian_linear_126
6,43,0.5456129000875208,0.7351116366054898,True,gaussian_linear,unequal,0.7818149970750091,True,-0.5267669291903684,-0.45965770894551494,True,0.527174982471965,0.057511595894324606,0.52,True,True,True,gaussian_linear_127
